example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response,_routed_row_index,latency_case,latency_sample_index,case_full_count,case_full_ratio,case_sample_count,full_total_count,sample_seed
7924,"{""choices"": ""[\""purple\"", \""yellow\"", \""green\"", \""pink\"", \""blue\"", \""red\"", \""orange\"", \""maroon\""]"", ""correct_choice"": ""F"", ""question"": ""In the video, when the crowd is walking, what color is the mobile toilet on the right?"", ""video_id"": ""I6kNd0SX7z4""}",I6kNd0SX7z4,"In the video, when the crowd is walking, what color is the mobile toilet on the right?","[""purple"", ""yellow"", ""green"", ""pink"", ""blue"", ""red"", ""orange"", ""maroon""]",Special Scenes / Entity Perception,F,E,E,0.0,0.0,tie,prob_margin,0.15,lt,0.2885533571243286,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,7924,case1_high_confidence,10,7571,0.6242579156,30,12128,2026
8198,"{""choices"": ""[\""Paint tribal masks\"", \""Weave traditional textiles\"", \""Repair bamboo furniture\"", \""Craft wooden tools\"", \""Carve intricate sculptures\"", \""Give others a haircut\"", \""Sell handcrafted baskets\""]"", ""correct_choice"": ""F"", ""question"": ""In the video, when the protagonist is introducing African customs, what is the cuckolded black man doing?"", ""video_id"": ""K946mptgzTU""}",K946mptgzTU,"In the video, when the protagonist is introducing African customs, what is the cuckolded black man doing?","[""Paint tribal masks"", ""Weave traditional textiles"", ""Repair bamboo furniture"", ""Craft wooden tools"", ""Carve intricate sculptures"", ""Give others a haircut"", ""Sell handcrafted baskets""]",Special Scenes / Event Perception,F,G,F,0.0,1.0,route_224,prob_margin,0.15,lt,0.49952906370162964,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,8198,case1_high_confidence,11,7571,0.6242579156,30,12128,2026
7352,"{""choices"": ""[\""Yellow bedroom\"", \""White living room\"", \""White study\"", \""White kitchen\"", \""Green bedroom\"", \""White bedroom\"", \""Blue bedroom\""]"", ""correct_choice"": ""F"", ""question"": ""In the video, when \""Gui Gui\"" was searching \""Teacher Huang\"", in which room were \""Jiong Jiong\"", \""Sa Sa\"" and others?"", ""video_id"": ""CDYJME8fgkI""}",CDYJME8fgkI,"In the video, when ""Gui Gui"" was searching ""Teacher Huang"", in which room were ""Jiong Jiong"", ""Sa Sa"" and others?","[""Yellow bedroom"", ""White living room"", ""White study"", ""White kitchen"", ""Green bedroom"", ""White bedroom"", ""Blue bedroom""]",Music & TV show / Scene Perception,F,F,F,1.0,1.0,tie,prob_margin,0.15,lt,0.6750278249382973,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,7352,case1_high_confidence,12,7571,0.6242579156,30,12128,2026
5572,"{""choices"": ""[\""Humming a tune\"", \""Speaking softly\"", \""Playing the guitar\"", \""Tuning the guitar\"", \""Whistling\"", \""Singing\""]"", ""correct_choice"": ""F"", ""question"": ""In the video, [[14:10-14:42]] what is the protagonist doing?"", ""video_id"": ""BV1k3411t7SU""}",BV1k3411t7SU,"In the video, [[14:10-14:42]] what is the protagonist doing?","[""Humming a tune"", ""Speaking softly"", ""Playing the guitar"", ""Tuning the guitar"", ""Whistling"", ""Singing""]",Instruction & Knowledge / Time Perception,F,C,C,0.0,0.0,tie,prob_margin,0.15,lt,0.6580895036458969,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,5572,case1_high_confidence,13,7571,0.6242579156,30,12128,2026
10312,"{""choices"": ""[\""next to\"", \""left\"", \""right\"", \""rear\"", \""front\"", \""beside\"", \""above\""]"", ""correct_choice"": ""D"", ""question"": ""In the video, when the protagonist is holding a pen in his right hand and counting the menu with his left hand, where is he located relative to the waiter in front of him?"", ""video_id"": ""gED3SwLUEzs""}",gED3SwLUEzs,"In the video, when the protagonist is holding a pen in his right hand and counting the menu with his left hand, where is he located relative to the waiter in front of him?","[""next to"", ""left"", ""right"", ""rear"", ""front"", ""beside"", ""above""]",Embodied Expert / Entity Cognition,D,A,A,0.0,0.0,tie,prob_margin,0.15,lt,0.16643717885017395,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,10312,case1_high_confidence,14,7571,0.6242579156,30,12128,2026
7552,"{""choices"": ""[\""Blooming Records\"", \""Hibiscus Records\"", \""Floral Notes\"", \""Blossom Records\"", \""Lotus Records\"", \""Petal Pages\"", \""Hibiscus Press\""]"", ""correct_choice"": ""B"", ""question"": ""In the video, the subtitles say \""Hibiscus Records\"". What is the name of the book in the picture?"", ""video_id"": ""EcPbOtxLlNY""}",EcPbOtxLlNY,"In the video, the subtitles say ""Hibiscus Records"". What is the name of the book in the picture?","[""Blooming Records"", ""Hibiscus Records"", ""Floral Notes"", ""Blossom Records"", ""Lotus Records"", ""Petal Pages"", ""Hibiscus Press""]",Art & Culture / Text Perception,B,B,B,1.0,1.0,tie,prob_margin,0.15,lt,0.9194635637104511,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,7552,case1_high_confidence,15,7571,0.6242579156,30,12128,2026
7239,"{""choices"": ""[\""Arrow pointing left\"", \""Symbol of a shopping cart\"", \""Arrow pointing down\"", \""Sign with a star\"", \""Arrow pointing up\"", \""Arrow pointing right\"", \""Sign with a circle\""]"", ""correct_choice"": ""F"", ""question"": ""In the video, after the protagonist enters the Lianhuachi Vegetable Market, when the subtitle \""Dried Goods and Cured Meat Area\"" appears, what is the image on the left of \""Dried Goods and Cured Meat Area\""?"", ""video_id"": ""BV1zJhWeKELU""}",BV1zJhWeKELU,"In the video, after the protagonist enters the Lianhuachi Vegetable Market, when the subtitle ""Dried Goods and Cured Meat Area"" appears, what is the image on the left of ""Dried Goods and Cured Meat Area""?","[""Arrow pointing left"", ""Symbol of a shopping cart"", ""Arrow pointing down"", ""Sign with a star"", ""Arrow pointing up"", ""Arrow pointing right"", ""Sign with a circle""]",Life Record / 2D Spatial Perception,F,F,F,1.0,1.0,tie,prob_margin,0.15,lt,0.8238557726144791,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,7239,case1_high_confidence,16,7571,0.6242579156,30,12128,2026
11049,"{""choices"": ""[\""Picture of a teapot\"", \""Picture of a tea garden\"", \""Picture of a tea leaf\"", \""Picture of a tea set\"", \""Picture of a tea ceremony\"", \""Picture of a cup of tea\"", \""Picture of a bowl of tea.\""]"", ""correct_choice"": ""G"", ""question"": ""In the video, when the woman in white said, \""I'll show you a picture, do you know what this is?\"", what picture appeared on the left side of the screen?"", ""video_id"": ""odV0hLIP5gs""}",odV0hLIP5gs,"In the video, when the woman in white said, ""I'll show you a picture, do you know what this is?"", what picture appeared on the left side of the screen?","[""Picture of a teapot"", ""Picture of a tea garden"", ""Picture of a tea leaf"", ""Picture of a tea set"", ""Picture of a tea ceremony"", ""Picture of a cup of tea"", ""Picture of a bowl of tea.""]",Art & Culture / 2D Spatial Perception,G,B,G,0.0,1.0,route_224,prob_margin,0.15,lt,0.463194765150547,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,11049,case1_high_confidence,17,7571,0.6242579156,30,12128,2026
9639,"{""choices"": ""[\""Bow and arrow\"", \""Javelin throw\"", \""Spear toss\"", \""Slingshot\"", \""Swordplay\"", \""Fencing\"", \""Crossbow\""]"", ""correct_choice"": ""A"", ""question"": ""What did the woman in black do during the time period [[522, 525]] in the video?"", ""video_id"": ""Z-IcFW4984c""}",Z-IcFW4984c,"What did the woman in black do during the time period [[522, 525]] in the video?","[""Bow and arrow"", ""Javelin throw"", ""Spear toss"", ""Slingshot"", ""Swordplay"", ""Fencing"", ""Crossbow""]",Sports & Exercise / Time Perception,A,A,A,1.0,1.0,tie,prob_margin,0.15,lt,0.6803497076034546,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,9639,case1_high_confidence,18,7571,0.6242579156,30,12128,2026
10228,"{""choices"": ""[\""White cap\"", \""Black glove\"", \""Black hat\"", \""Striped scarf\"", \""Silver ring\"", \""Red hat\"", \""Blue bandana\""]"", ""correct_choice"": ""C"", ""question"": ""In the video, when Yang Kai was the champion, Bubu challenged the champion and threw something on the ground."", ""video_id"": ""f2luCDZM8Ck""}",f2luCDZM8Ck,"In the video, when Yang Kai was the champion, Bubu challenged the champion and threw something on the ground.","[""White cap"", ""Black glove"", ""Black hat"", ""Striped scarf"", ""Silver ring"", ""Red hat"", ""Blue bandana""]",Music & TV show / Entity Perception,C,C,C,1.0,1.0,tie,prob_margin,0.15,lt,0.34458141028881073,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,10228,case1_high_confidence,19,7571,0.6242579156,30,12128,2026
10112,"{""choices"": ""[\""Hanfu + butterfly headdress style\"", \""Hanfu + flower headdress style\"", \""Hanfu + pearl headdress style\"", \""Hanfu + traditional bun style\"", \""Hanfu + ribbon headdress style\"", \""Hanfu + phoenix headdress style\"", \""Hanfu + silver headdress style\""]"", ""correct_choice"": ""B"", ""question"": ""In the video, what did the protagonist change the style of the Hanfu headdress with flowers into?"", ""video_id"": ""doCljVMQAvU""}",doCljVMQAvU,"In the video, what did the protagonist change the style of the Hanfu headdress with flowers into?","[""Hanfu + butterfly headdress style"", ""Hanfu + flower headdress style"", ""Hanfu + pearl headdress style"", ""Hanfu + traditional bun style"", ""Hanfu + ribbon headdress style"", ""Hanfu + phoenix headdress style"", ""Hanfu + silver headdress style""]",GUI / Event Cognition,B,A,A,0.0,0.0,tie,prob_margin,0.15,lt,0.1580081284046173,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,10112,case1_high_confidence,20,7571,0.6242579156,30,12128,2026
6472,"{""choices"": ""[\""double\"", \""zero\"", \""half\"", \""infinite\"", \""quadruple\"", \""once\"", \""thrice\"", \""twice\""]"", ""correct_choice"": ""H"", ""question"": ""In the video, on the twentieth day of the game, how many refugees were accepted?"", ""video_id"": ""BV1sU411U788""}",BV1sU411U788,"In the video, on the twentieth day of the game, how many refugees were accepted?","[""double"", ""zero"", ""half"", ""infinite"", ""quadruple"", ""once"", ""thrice"", ""twice""]",Electonic/Social Gaming / Event Perception,H,B,B,0.0,0.0,tie,prob_margin,0.15,lt,0.8502897378057241,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,6472,case1_high_confidence,21,7571,0.6242579156,30,12128,2026
9908,"{""choices"": ""[\""9 minutes\"", \""7 minutes\"", \""5 minutes\"", \""10 minutes\"", \""8 minutes\"", \""12 minutes\"", \""6 minutes\""]"", ""correct_choice"": ""E"", ""question"": ""In the video, how long did the cooking master Li Yongzhou steam the Puning soy milk bamboo shoot fish in the pot?"", ""video_id"": ""bFHGoNdOBy8""}",bFHGoNdOBy8,"In the video, how long did the cooking master Li Yongzhou steam the Puning soy milk bamboo shoot fish in the pot?","[""9 minutes"", ""7 minutes"", ""5 minutes"", ""10 minutes"", ""8 minutes"", ""12 minutes"", ""6 minutes""]",Art & Culture / Time Cognition,E,E,E,1.0,1.0,tie,prob_margin,0.15,lt,0.19536644220352173,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,9908,case1_high_confidence,22,7571,0.6242579156,30,12128,2026
10175,"{""choices"": ""[\""twice more\"", \""four times\"", \""several times\"", \""five times\"", \""once\"", \""twice\"", \""three times\""]"", ""correct_choice"": ""F"", ""question"": ""How many times did the man in white move the stones while preparing the campfire in the video?"", ""video_id"": ""eFpPaCUSleY""}",eFpPaCUSleY,How many times did the man in white move the stones while preparing the campfire in the video?,"[""twice more"", ""four times"", ""several times"", ""five times"", ""once"", ""twice"", ""three times""]",Special Scenes / Event Perception,F,C,C,0.0,0.0,tie,prob_margin,0.15,lt,0.5334180593490601,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,10175,case1_high_confidence,23,7571,0.6242579156,30,12128,2026
7733,"{""choices"": ""[\""Singing\"", \""Clapping\"", \""Whispering\"", \""Sighing\"", \""Crying\"", \""Smiling\"", \""Laughing\""]"", ""correct_choice"": ""E"", ""question"": ""What did the man in black do at 28 minutes and 59 seconds in the video?"", ""video_id"": ""GFdgC_5mdKk""}",GFdgC_5mdKk,What did the man in black do at 28 minutes and 59 seconds in the video?,"[""Singing"", ""Clapping"", ""Whispering"", ""Sighing"", ""Crying"", ""Smiling"", ""Laughing""]",Art & Culture / Time Perception,E,G,G,0.0,0.0,tie,prob_margin,0.15,lt,0.21997252106666565,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-cgbench-confidence/fs224_lb18_rs36/1_0.csv,,7733,case1_high_confidence,24,7571,0.6242579156,30,12128,2026
