latency_case,latency_sample_index,sample_uid,video_id,decision,fs224_mean_ms,fs112_mean_ms,fs112_div_fs224,fs112_minus_fs224_ms,fs224_repeats_ms,fs112_repeats_ms,question
case2_low_confidence_agree,16,case2_low_confidence_agree_46,rk24OUu_kJQ,low_confidence_agree_accept_answer,493.076814,769.524215,1.560658,276.447401,"[700.8943769997131, 387.0327700001326, 391.3032949999433]","[761.3990500003638, 774.6679449992371, 772.5056499994025]",How does the audience near the stage at the first floor watch the performance?
case2_low_confidence_agree,17,case2_low_confidence_agree_47,rSE2YPcv89U,low_confidence_agree_accept_answer,339.207528,774.457029,2.283136,435.249501,"[341.1803540002438, 293.8790770003834, 382.56315399985397]","[794.1527230004795, 769.3790329994954, 759.8393319995012]",What happens in the second half of the game?
case2_low_confidence_agree,18,case2_low_confidence_agree_48,T1yhBv1ytzw,low_confidence_agree_accept_answer,392.847185,748.721292,1.905884,355.874107,"[400.2100039997458, 379.6780909997324, 398.65345999987767]","[775.6514550001157, 750.844502000291, 719.6679190001305]","Who is hit by Thiago and therefore, Thiago gets a warn?"
case2_low_confidence_agree,19,case2_low_confidence_agree_49,T1yhBv1ytzw,low_confidence_agree_accept_answer,427.259891,794.345719,1.859163,367.085828,"[446.341534000112, 369.2728050000369, 466.16533299993534]","[738.0385019996538, 804.8871390001295, 840.1115149999896]",What is the stoppage time for the first half?
case2_low_confidence_agree,20,case2_low_confidence_agree_50,gbDR39yIs3Y,low_confidence_agree_accept_answer,340.417583,580.073217,1.704005,239.655634,"[377.03729799977737, 268.7796309996884, 375.43581899990386]","[433.4962570001153, 621.1200799998551, 685.6033129997741]",What does the vlogger do after putting things into the washing machine?
case2_low_confidence_agree,21,case2_low_confidence_agree_51,EwskdNETNx8,low_confidence_agree_accept_answer,402.593604,745.790184,1.852464,343.196580,"[412.365373999819, 381.49208100003307, 413.9233559999411]","[738.1567190004716, 755.1903940002376, 744.0234389996476]",Who is the original singer of the song 'Anyone' that one of the contestants sings in the video?
case2_low_confidence_agree,22,case2_low_confidence_agree_52,rk24OUu_kJQ,low_confidence_agree_accept_answer,371.422559,763.065138,2.054439,391.642580,"[388.42004100024496, 383.74043099975097, 342.1072040000581]","[776.4785950002988, 763.9687399996546, 748.7480800000412]",What instrument does the first person who wears black outfit play?
case2_low_confidence_agree,23,case2_low_confidence_agree_53,TZ0j6kr4ZJ0,low_confidence_agree_accept_answer,411.051916,461.062141,1.121664,50.010224,"[403.33817100008673, 421.7363479999676, 408.0812300001071]","[264.1344800003935, 716.7910260004646, 402.26091600015934]",Did the islanders accept help from the outside?
case2_low_confidence_agree,24,case2_low_confidence_agree_54,16Z-XQh9jhk,low_confidence_agree_accept_answer,484.890958,903.246432,1.862783,418.355474,"[447.74927900016337, 487.0189059997756, 519.9046890002137]","[875.0432000006185, 818.5494769995785, 1016.1466200006544]","After the performance of TV headgear, what color are the lights in the next scene?"
case2_low_confidence_agree,25,case2_low_confidence_agree_55,_T2Avd3tFHc,low_confidence_agree_accept_answer,374.321447,779.601844,2.082707,405.280397,"[369.31327500002453, 378.8910810000061, 374.7599840000362]","[777.6609789998474, 808.4023089995753, 752.7422440007285]",Mikhail has a broken ___.
case2_low_confidence_agree,26,case2_low_confidence_agree_56,_T2Avd3tFHc,low_confidence_agree_accept_answer,333.992986,797.320893,2.387238,463.327907,"[265.5408880000323, 366.5520879999917, 369.885982000028]","[824.7282230004203, 828.6389929999132, 738.5954639994452]","After exiting the airport, what does the vlogger team do before seeking directions from an elder?"
case2_low_confidence_agree,27,case2_low_confidence_agree_57,hROKtPqktO8,low_confidence_agree_accept_answer,401.391436,791.926995,1.972954,390.535559,"[375.662469999952, 419.4154509998498, 409.0963879998526]","[834.0806059995884, 807.1162999995067, 734.5840790003422]","After the vlogger sees a dog with an advertisement from the company named Smitten, camera changes to the scene with ___."
case2_low_confidence_agree,28,case2_low_confidence_agree_58,evYm0cELO3I,low_confidence_agree_accept_answer,367.470846,879.267336,2.392754,511.796489,"[360.3485170001477, 367.35053200004586, 374.71348999997645]","[864.8131520003517, 932.8896939996412, 840.0991609996709]",How does the vlogger eat the grilled lobster?
case2_low_confidence_agree,29,case2_low_confidence_agree_59,8QdE--Y-x7U,low_confidence_agree_accept_answer,318.297482,473.608983,1.487944,155.311501,"[377.69391899999505, 372.0992070000193, 205.09932100000583]","[292.8145500000028, 404.22123599910265, 723.7911640004313]",How many hosts didn't wear any badges on their chests?
case3_low_confidence_disagree,0,case3_low_confidence_disagree_60,gbDR39yIs3Y,llm_verifier_disagreement,319.670036,520.817960,1.629236,201.147924,"[312.6662570002736, 321.4032989999396, 324.9405520000437]","[648.7533269992127, 418.7128539997502, 494.9876979999317]",When does the vlogger go out again?
case3_low_confidence_disagree,1,case3_low_confidence_disagree_61,vaL_vSdZKZo,llm_verifier_disagreement,387.106771,787.916767,2.035399,400.809996,"[373.03166699985013, 409.9346660000265, 378.3539800001563]","[798.8416949992825, 739.6444730002258, 825.2641339995535]",Who was the man who spoke between LORETTA NAPOLEONI and ATEPHEN ASKINS?
case3_low_confidence_disagree,2,case3_low_confidence_disagree_62,uW9mcG0rdLY,llm_verifier_disagreement,385.154459,790.916078,2.053504,405.761619,"[381.699891000153, 387.8294799997093, 385.93400700028724]","[764.9278899998535, 847.958096000184, 759.8622479999904]",How are the photographer's equipment transported to the island?
case3_low_confidence_disagree,3,case3_low_confidence_disagree_63,FaV0tIaWWEg,llm_verifier_disagreement,381.087696,714.915305,1.875986,333.827609,"[390.2794850000646, 380.5214390004039, 372.46216400035337]","[870.1605389996985, 406.0016319999704, 868.5837450002509]",Who is the earliest character in the entire video?
case3_low_confidence_disagree,4,case3_low_confidence_disagree_64,moALQl818ZY,llm_verifier_disagreement,436.200271,520.886490,1.194145,84.686219,"[384.7274940000034, 449.15174000004754, 474.72157900006096]","[613.6377550001271, 193.5939300001337, 755.4277859999274]","What events does the reporter, who is wearing a yellow dress, report about in the restaurant?"
case3_low_confidence_disagree,5,case3_low_confidence_disagree_65,uusf1qG_uZ4,llm_verifier_disagreement,423.151335,787.985774,1.862184,364.834439,"[426.9907010002498, 418.6197690000881, 423.8435349998326]","[791.2209350006378, 801.0362730001361, 771.7001150003853]",Who is the third kid to slide into the pool?
case3_low_confidence_disagree,6,case3_low_confidence_disagree_66,tH_5YbklevQ,llm_verifier_disagreement,341.767808,792.396771,2.318524,450.628963,"[286.6991720002261, 374.0671030000158, 364.53714900017076]","[818.5933470003874, 797.881879999295, 760.7150849999016]",Where does the vlogger go after crossing the street that has a no parking sign?
case3_low_confidence_disagree,7,case3_low_confidence_disagree_67,gbDR39yIs3Y,llm_verifier_disagreement,354.610191,558.590112,1.575223,203.979921,"[372.6959949999582, 290.5306089996884, 400.6039689998033]","[553.5066570000708, 708.5359509992486, 413.72772900012933]",What does the vlogger do in the washroom when she gets up?
case3_low_confidence_disagree,8,case3_low_confidence_disagree_68,vZV2WCKMsKs,llm_verifier_disagreement,439.091197,792.689770,1.805296,353.598573,"[477.1192589998918, 406.730042999925, 433.42429000017546]","[790.4736199998297, 819.4302669999161, 768.1654230000277]",How many dogs does Diana Vedyashinka perform with?
case3_low_confidence_disagree,9,case3_low_confidence_disagree_69,USfvmoalqsw,llm_verifier_disagreement,335.877489,348.712471,1.038213,12.834982,"[241.64303799989284, 391.84677200000806, 374.1426579999825]","[358.086820000608, 305.8740639999087, 382.17652900038956]",What color of the jacket does Sophia wear when she sees the crane status?
case3_low_confidence_disagree,10,case3_low_confidence_disagree_70,moALQl818ZY,llm_verifier_disagreement,411.750124,781.257462,1.897407,369.507339,"[425.23369200000616, 374.49187800007167, 435.5248010000423]","[785.8860590004042, 771.2532280002051, 786.633100000472]",What are the actions of people in the first picture in the The Five Thing #4?
case3_low_confidence_disagree,11,case3_low_confidence_disagree_71,tH_5YbklevQ,llm_verifier_disagreement,382.118979,774.576677,2.027056,392.457697,"[385.78900799984694, 384.1685809993578, 376.3993490001667]","[772.7469089995793, 797.6670469997771, 753.316074000395]",What color hat is the person communicating with the vlogger wearing before entering the national monument?
case3_low_confidence_disagree,12,case3_low_confidence_disagree_72,uusf1qG_uZ4,llm_verifier_disagreement,425.307470,556.142598,1.307625,130.835128,"[461.82979100012744, 390.2757659998315, 423.8168530000621]","[724.8908250003296, 172.52096299944242, 771.0160059996269]",Why is the daycare teacher very irritable with the kids?
case3_low_confidence_disagree,13,case3_low_confidence_disagree_73,vZV2WCKMsKs,llm_verifier_disagreement,421.059245,815.229491,1.936140,394.170246,"[417.46164100004535, 381.6370029999234, 464.07908999981373]","[790.6065500001205, 771.2630989999525, 883.818823999718]","How many ""Yes""does Bogart get?"
case3_low_confidence_disagree,14,case3_low_confidence_disagree_74,20lTg3yUrO4,llm_verifier_disagreement,438.182709,604.717619,1.380058,166.534910,"[474.7402470002271, 455.7975119996627, 384.0103669999735]","[644.4349940002212, 490.2566639993893, 679.4611989998884]","In which topic does a man wearing a beige cowboy hat, standing in front of a green podium appear while talking to a red microphone?"
case3_low_confidence_disagree,15,case3_low_confidence_disagree_75,SRq0weUKskM,llm_verifier_disagreement,408.774873,846.397621,2.070572,437.622747,"[412.9353380003522, 381.9631380001738, 431.426143999488]","[827.7553819998502, 838.8909679997596, 872.5465119996443]",What does the fairy do on a stone near a river when the doll is floating on the river?
case3_low_confidence_disagree,16,case3_low_confidence_disagree_76,GcRKREorGSc,llm_verifier_disagreement,382.671302,792.545263,2.071086,409.873961,"[390.19921100043575, 377.5758419997146, 380.2388519998203]","[743.9004139996541, 839.0013139996881, 794.7340610007814]",What are the two deer seen in the first half of the video doing?
case3_low_confidence_disagree,17,case3_low_confidence_disagree_77,7HjNIPIgUg4,llm_verifier_disagreement,428.680007,749.668730,1.748784,320.988723,"[446.82220000004236, 380.46185000030164, 458.7559719998353]","[751.8700670007092, 756.2280550000651, 740.9080679999533]",How many times has Ronaldo been on stage?
case3_low_confidence_disagree,18,case3_low_confidence_disagree_78,EwskdNETNx8,llm_verifier_disagreement,411.665463,737.891758,1.792455,326.226295,"[378.0797499998698, 451.73559200020463, 405.1810480000313]","[750.5727279994971, 721.0873049998554, 742.0152419999795]",Who is the first coach to turn around during the third contestant's performance?
case3_low_confidence_disagree,19,case3_low_confidence_disagree_79,moALQl818ZY,llm_verifier_disagreement,430.719521,815.450443,1.893228,384.730922,"[403.7954080000645, 445.497643000067, 442.8655130000152]","[786.7465700001048, 829.5798099998137, 830.0249499998245]","What is the change in the number of camera images when the scene of a woman, who is interviewed with words of 'LEBANON, NJ 5:06PM' switched?"
case3_low_confidence_disagree,20,case3_low_confidence_disagree_80,rk24OUu_kJQ,llm_verifier_disagreement,328.965423,735.753496,2.236568,406.788073,"[234.69380999995337, 378.98024200012514, 373.22221600015837]","[736.4563709998038, 742.3250140000164, 728.4791020001649]",There is a song in which the singer wears a green bikini and has a piece of fabric tied around her body. Where is the green fabric tied to?
case3_low_confidence_disagree,21,case3_low_confidence_disagree_81,JPPMz8fEml0,llm_verifier_disagreement,301.758818,761.308334,2.522903,459.549516,"[377.91283000024123, 258.65806700039684, 268.7055569995209]","[755.6395089995931, 751.7004209994411, 776.5850719997616]","Among the three vloggers, ___ has the most normal night."
case3_low_confidence_disagree,22,case3_low_confidence_disagree_82,tH_5YbklevQ,llm_verifier_disagreement,388.706796,859.061932,2.210051,470.355136,"[383.2277030005571, 395.811780999793, 387.08090399995854]","[953.866367000046, 786.0727060005956, 837.2467219996906]",What is the color of the vlogger's sunglasses frame?
case3_low_confidence_disagree,23,case3_low_confidence_disagree_83,o-gLbgpzCc8,llm_verifier_disagreement,401.645328,759.458037,1.890867,357.812709,"[424.09379199989417, 410.06024999978763, 370.78194199966674]","[767.8806309995707, 741.8407369996203, 768.6527430005299]","When the black screen appears on the stage for the first time, from the perspective of the audience, from which direction does Aladdin appear?"
case3_low_confidence_disagree,24,case3_low_confidence_disagree_84,wgBlACG927Y,llm_verifier_disagreement,485.541379,443.266178,0.912932,-42.275201,"[477.48154600003545, 541.7870280000443, 437.35556200022074]","[425.8960480001406, 288.73114899943175, 615.1713360004578]",How many arches are there on the overpass?
case3_low_confidence_disagree,25,case3_low_confidence_disagree_85,wgBlACG927Y,llm_verifier_disagreement,498.629081,698.530941,1.400903,199.901860,"[547.4232219999067, 573.5555209998893, 374.9084999999468]","[675.4926029998387, 710.060323000107, 710.0398969996604]","After watching the acrobatic show, which restaurant do the vloggers go to?"
case3_low_confidence_disagree,26,case3_low_confidence_disagree_86,tH_5YbklevQ,llm_verifier_disagreement,268.984819,747.394274,2.778574,478.409455,"[301.89171500023804, 218.9432939994731, 286.11944899967057]","[709.8690799994074, 741.8498809993253, 790.4638609998074]",Where does the vlogger go after leaving the church?
case3_low_confidence_disagree,27,case3_low_confidence_disagree_87,7HjNIPIgUg4,llm_verifier_disagreement,447.192580,751.967144,1.681529,304.774564,"[463.0740070001593, 472.3300310001832, 406.1737010001707]","[749.8052099999768, 753.2457039997098, 752.8505179998319]",There are ___  awards related to the club.
case3_low_confidence_disagree,28,case3_low_confidence_disagree_88,_T2Avd3tFHc,llm_verifier_disagreement,369.542843,744.909119,2.015758,375.366275,"[362.96854300002224, 369.614313999989, 376.0456729999646]","[765.246771999955, 729.7593359999155, 739.7212480000235]","How many people, including the vlogger himself, have lunch together on the first day?"
case3_low_confidence_disagree,29,case3_low_confidence_disagree_89,aJI8XTa_DII,llm_verifier_disagreement,432.584024,783.439071,1.811068,350.855047,"[444.40933799978666, 370.85013700016134, 482.49259699969116]","[765.5489990002025, 748.4136659995784, 836.3545480005996]","What color of coat does Melania Trump wear for the meeting that is hosted at Helsinki, Finland?"
