example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,gate_fs,challenger_fs,default_gate_value,default_low_confidence,default_challenger_agree,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response,_routed_row_index,latency_case,latency_sample_index,case_full_count,case_full_ratio,case_sample_count,full_total_count,sample_seed,sample_uid,fs224_mean_ms,fs224_median_ms,fs224_p90_ms,fs224_std_ms,fs224_repeats_ms,fs224_error,fs224_cache_build_ms_for_video,fs112_mean_ms,fs112_median_ms,fs112_p90_ms,fs112_std_ms,fs112_repeats_ms,fs112_error,fs112_cache_build_ms_for_video,verifier_mean_ms,verifier_median_ms,verifier_p90_ms,verifier_std_ms,verifier_repeats_ms,verifier_error
360,"{""choices"": ""[\""At the beach\"", \""In the kitchen\"", \""In the dormitory\"", \""In the forest\""]"", ""correct_choice"": ""C"", ""question"": ""Where is the person with the number 9615 on their chest being interviewed in the video?"", ""video_id"": ""TZ0j6kr4ZJ0""}",TZ0j6kr4ZJ0,Where is the person with the number 9615 on their chest being interviewed in the video?,"[""At the beach"", ""In the kitchen"", ""In the dormitory"", ""In the forest""]",event understanding,C,A,A,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.6712571233510971,False,True,0.6712571233510971,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,360,case1_high_confidence,10,404,0.5466847091,30,739,2026,case1_high_confidence_10,524.1887833333294,554.3907799999488,554.3907799999488,51.276286147479745,"[451.9934259999445, 566.1821440000949, 554.3907799999488]",,41853.95801200002,,,,,,,,,,,,,
733,"{""choices"": ""[\""Black\"", \""Dark blue\"", \""Red\"", \""Yellow\""]"", ""correct_choice"": ""B"", ""question"": ""What color is the device that Mark Wong wears to monitor his health?"", ""video_id"": ""xi6r3hZe5Tg""}",xi6r3hZe5Tg,What color is the device that Mark Wong wears to monitor his health?,"[""Black"", ""Dark blue"", ""Red"", ""Yellow""]",entity recognition,B,B,B,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.6983382403850555,False,True,0.6983382403850555,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,733,case1_high_confidence,11,404,0.5466847091,30,739,2026,case1_high_confidence_11,434.0924886666926,443.1994340000074,443.1994340000074,14.22767156018646,"[445.0772790000883, 443.1994340000074, 414.00075299998207]",,43410.1912210001,,,,,,,,,,,,,
515,"{""choices"": ""[\""Attention Hotspring\"", \""Attention Volcano\"", \""Danger Volcano\"", \""Danger Hotspring\""]"", ""correct_choice"": ""D"", ""question"": ""What are the words on the warning sign the vlogger first notices?"", ""video_id"": ""hROKtPqktO8""}",hROKtPqktO8,What are the words on the warning sign the vlogger first notices?,"[""Attention Hotspring"", ""Attention Volcano"", ""Danger Volcano"", ""Danger Hotspring""]",key information retrieval,D,D,D,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.8438747115433216,False,True,0.8438747115433216,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,515,case1_high_confidence,12,404,0.5466847091,30,739,2026,case1_high_confidence_12,385.9219433332631,386.5631339999709,386.5631339999709,51.31419665988168,"[448.44569399992906, 386.5631339999709, 322.7570019998893]",,40992.72296100003,,,,,,,,,,,,,
484,"{""choices"": ""[\""The chef of the Captain's table\"", \""The founder of Mongu Beach Fish Market\"", \""The food expert who makes the video\"", \""The chef of the Frankie Gone Bananas\""]"", ""correct_choice"": ""A"", ""question"": ""Who is Shay?"", ""video_id"": ""evYm0cELO3I""}",evYm0cELO3I,Who is Shay?,"[""The chef of the Captain's table"", ""The founder of Mongu Beach Fish Market"", ""The food expert who makes the video"", ""The chef of the Frankie Gone Bananas""]",entity recognition,A,B,D,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.4760175198316574,False,False,0.4760175198316574,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,484,case1_high_confidence,13,404,0.5466847091,30,739,2026,case1_high_confidence_13,380.83606133333586,379.2223360001117,379.2223360001117,14.029125171507246,"[364.5177539999622, 398.7680939999336, 379.2223360001117]",,84572.4286740001,,,,,,,,,,,,,
682,"{""choices"": ""[\""Amber and Nymeria's show time\"", \""Aron and Buddy's show time\"", \""Adrian Stoica and Hurricane's show time\"", \""Heather and Bogart's show time\""]"", ""correct_choice"": ""A"", ""question"": ""Who is the woman wearing a tall hat, dressed head to toe in black, holding a magician stick, and the dog wearing black clothes with a silver star?"", ""video_id"": ""vZV2WCKMsKs""}",vZV2WCKMsKs,"Who is the woman wearing a tall hat, dressed head to toe in black, holding a magician stick, and the dog wearing black clothes with a silver star?","[""Amber and Nymeria's show time"", ""Aron and Buddy's show time"", ""Adrian Stoica and Hurricane's show time"", ""Heather and Bogart's show time""]",entity recognition,A,D,A,0.0,1.0,route_224,prob_margin,0.3,lt,224,112,0.9510546457022429,False,False,0.9510546457022429,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,682,case1_high_confidence,14,404,0.5466847091,30,739,2026,case1_high_confidence_14,440.32141899992894,447.20553800016205,447.20553800016205,17.24041187085247,"[416.62338799983445, 457.1353309997903, 447.20553800016205]",,88240.39894899988,,,,,,,,,,,,,
728,"{""choices"": ""[\""Taxi\"", \""Subway\"", \""Train\"", \""Bus\""]"", ""correct_choice"": ""B"", ""question"": ""What means of transportation do the vloggers take after getting off the high-speed train?"", ""video_id"": ""wgBlACG927Y""}",wgBlACG927Y,What means of transportation do the vloggers take after getting off the high-speed train?,"[""Taxi"", ""Subway"", ""Train"", ""Bus""]","entity recognition, event understanding",B,B,B,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.8037378564476967,False,True,0.8037378564476967,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,728,case1_high_confidence,15,404,0.5466847091,30,739,2026,case1_high_confidence_15,553.7605089999337,551.0835359998509,551.0835359998509,40.729162793366214,"[551.0835359998509, 505.2700639998875, 604.9279270000625]",,38673.571835000075,,,,,,,,,,,,,
723,"{""choices"": ""[\""14\"", \""10\"", \""8\"", \""12\""]"", ""correct_choice"": ""B"", ""question"": ""How many pieces are in the purple roll dish the vloggers shoot at the dinner?"", ""video_id"": ""wgBlACG927Y""}",wgBlACG927Y,How many pieces are in the purple roll dish the vloggers shoot at the dinner?,"[""14"", ""10"", ""8"", ""12""]",entity recognition,B,D,D,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.3689754754304886,False,True,0.3689754754304886,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,723,case1_high_confidence,16,404,0.5466847091,30,739,2026,case1_high_confidence_16,485.02080433331685,483.35754899994754,483.35754899994754,20.595957286347222,"[483.35754899994754, 511.03606500009846, 460.66879899990454]",,38673.571835000075,,,,,,,,,,,,,
418,"{""choices"": ""[\""No\"", \""Yes, only once\"", \""Yes, all the time\"", \""Yes, most of the time\""]"", ""correct_choice"": ""B"", ""question"": ""Does the protagonist wear a pair of glasses in the video?"", ""video_id"": ""Za2Z_JRxCuk""}",Za2Z_JRxCuk,Does the protagonist wear a pair of glasses in the video?,"[""No"", ""Yes, only once"", ""Yes, all the time"", ""Yes, most of the time""]","reasoning, entity recognition",B,A,A,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.7300004661083221,False,True,0.7300004661083221,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,418,case1_high_confidence,17,404,0.5466847091,30,739,2026,case1_high_confidence_17,158.99675633333268,156.2862249999739,156.2862249999739,7.713375662987654,"[151.201393000008, 169.50265100001616, 156.2862249999739]",,29244.766339000023,,,,,,,,,,,,,
704,"{""choices"": ""[\""10\"", \""1\"", \""5\"", \""2\""]"", ""correct_choice"": ""C"", ""question"": ""How many different outfits has the American man worn in total in the video?"", ""video_id"": ""wNCPgIVz15c""}",wNCPgIVz15c,How many different outfits has the American man worn in total in the video?,"[""10"", ""1"", ""5"", ""2""]",entity recognition,C,C,D,1.0,0.0,route_112,prob_margin,0.3,lt,224,112,0.406793937087059,False,False,0.406793937087059,False,False,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,704,case1_high_confidence,18,404,0.5466847091,30,739,2026,case1_high_confidence_18,414.98300366667235,415.0762770000256,415.0762770000256,8.449591832196598,"[404.5880880000823, 415.0762770000256, 425.2846459999091]",,81567.53745700007,,,,,,,,,,,,,
726,"{""choices"": ""[\""Hawk\"", \""Panda\"", \""Tiger\"", \""Lion\""]"", ""correct_choice"": ""B"", ""question"": ""What animal statue is under the Dong Men Ding Food Street sign?"", ""video_id"": ""wgBlACG927Y""}",wgBlACG927Y,What animal statue is under the Dong Men Ding Food Street sign?,"[""Hawk"", ""Panda"", ""Tiger"", ""Lion""]","entity recognition, key information retrieval",B,B,B,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.9547590184956789,False,True,0.9547590184956789,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,726,case1_high_confidence,19,404,0.5466847091,30,739,2026,case1_high_confidence_19,472.46366266661727,465.77947199989467,465.77947199989467,49.588087905487825,"[415.3495020000264, 465.77947199989467, 536.2620139999308]",,38673.571835000075,,,,,,,,,,,,,
524,"{""choices"": ""[\""Biscuits\"", \""Liquor\"", \""Cups\"", \""Chocolates\""]"", ""correct_choice"": ""A"", ""question"": ""What is in the top shelf of cabinet that the vlogger opens right after he checks the cooler for the first time?"", ""video_id"": ""iA_69g87Ilw""}",iA_69g87Ilw,What is in the top shelf of cabinet that the vlogger opens right after he checks the cooler for the first time?,"[""Biscuits"", ""Liquor"", ""Cups"", ""Chocolates""]","entity recognition, key information retrieval",A,B,B,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.535226047039032,False,True,0.535226047039032,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,524,case1_high_confidence,20,404,0.5466847091,30,739,2026,case1_high_confidence_20,381.69494400002196,377.213121000068,377.213121000068,6.797703590498382,"[376.5705240000443, 377.213121000068, 391.30118699995364]",,30010.444394999922,,,,,,,,,,,,,
372,"{""choices"": ""[\""Mantis\"", \""Scorpion\"", \""Spider\"", \""Cockroach\""]"", ""correct_choice"": ""B"", ""question"": ""___ is an insect appears in the video."", ""video_id"": ""TiQBTesZUJQ""}",TiQBTesZUJQ,___ is an insect appears in the video.,"[""Mantis"", ""Scorpion"", ""Spider"", ""Cockroach""]",entity recognition,B,A,A,0.0,0.0,tie,prob_margin,0.3,lt,224,112,0.9894536349456757,False,True,0.9894536349456757,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,372,case1_high_confidence,21,404,0.5466847091,30,739,2026,case1_high_confidence_21,446.54424066660187,442.08179199995357,442.08179199995357,28.824898658132362,"[483.86644799984424, 442.08179199995357, 413.68448200000785]",,51713.74831100002,,,,,,,,,,,,,
216,"{""choices"": ""[\""From hopeful to seasick\"", \""From excited to disappointed\"", \""From relaxed to anxious\"", \""From curious to bored\""]"", ""correct_choice"": ""A"", ""question"": ""How does the male host feel on the ship?"", ""video_id"": ""KktLi3UifPY""}",KktLi3UifPY,How does the male host feel on the ship?,"[""From hopeful to seasick"", ""From excited to disappointed"", ""From relaxed to anxious"", ""From curious to bored""]",reasoning,A,A,A,1.0,1.0,tie,prob_margin,0.3,lt,224,112,0.6043694019317627,False,True,0.6043694019317627,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-lvbench-confidence/fs224_lb18_rs36/1_0.csv,,216,case1_high_confidence,22,404,0.5466847091,30,739,2026,case1_high_confidence_22,393.8174220000595,386.872360000325,386.872360000325,18.631733349424596,"[386.872360000325, 419.30215000002136, 375.27775599983215]",,93713.20517300001,,,,,,,,,,,,,
