example_index,key,video_id,question,choices,task,correct_choice,pred112,pred224,acc112,acc224,gold_label,gate_column,gate_threshold,low_confidence_when,gate_fs,challenger_fs,default_gate_value,default_low_confidence,default_challenger_agree,fs224_gate_value,fs224_low_confidence,fs112_fs224_agree,verifier,decision,pred_label,verifier_choice,verifier_confidence,verifier_reason,min_fs112_verifier_confidence,fs112_confidence_fallback,fs112_confidence_fallback_reason,parse_error,default_fs,routed_fs,routed_acc,selective_oracle_fs,selective_oracle_acc,full_oracle_acc,source_112,source_224,raw_response
10,"{""choices"": ""[\""The person in dark-colored clothes defeated the person in light-colored clothes\"", \""The person in dark-colored clothes sneaked away when the person in light-colored clothes was not paying attention\"", \""The person in light-colored clothes was blocked by armed personnel in a yard\"", \""The person in light-colored clothes was suddenly moved\""]"", ""correct_choice"": ""C"", ""question"": ""Why did the person in light-colored clothes release the person in dark-colored clothes at the end of the video?"", ""video_id"": ""1_plotQA/9""}",1_plotQA/9,Why did the person in light-colored clothes release the person in dark-colored clothes at the end of the video?,"[""The person in dark-colored clothes defeated the person in light-colored clothes"", ""The person in dark-colored clothes sneaked away when the person in light-colored clothes was not paying attention"", ""The person in light-colored clothes was blocked by armed personnel in a yard"", ""The person in light-colored clothes was suddenly moved""]",plotQA,C,A,A,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.24156802892684937,True,True,0.24156802892684937,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
11,"{""choices"": ""[\""Car accident\"", \""She is hit\"", \""She is scolded\"", \""She is threatened with a gun\""]"", ""correct_choice"": ""D"", ""question"": ""After the woman in the red coat enters the car, what happens to her?"", ""video_id"": ""1_plotQA/en_tv_1""}",1_plotQA/en_tv_1,"After the woman in the red coat enters the car, what happens to her?","[""Car accident"", ""She is hit"", ""She is scolded"", ""She is threatened with a gun""]",plotQA,D,D,D,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.27517035603523254,True,True,0.27517035603523254,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
12,"{""choices"": ""[\""Sleep\"", \""Eat\"", \""Make a phone call\"", \""Play games\""]"", ""correct_choice"": ""C"", ""question"": ""At the beginning of the video, a woman in a red coat and a man with a hat are talking in the car. What does the man do after he opens the car door and leaves?"", ""video_id"": ""1_plotQA/en_tv_1""}",1_plotQA/en_tv_1,"At the beginning of the video, a woman in a red coat and a man with a hat are talking in the car. What does the man do after he opens the car door and leaves?","[""Sleep"", ""Eat"", ""Make a phone call"", ""Play games""]",plotQA,C,C,C,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.9980728003429249,False,True,0.9980728003429249,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
13,"{""choices"": ""[\""Leave\"", \""Withdraw money\"", \""Sleep\"", \""Go to see a man in white clothes\""]"", ""correct_choice"": ""D"", ""question"": ""At the end of the video, what does the man in the black coat force the woman in the red coat to do?"", ""video_id"": ""1_plotQA/en_tv_1""}",1_plotQA/en_tv_1,"At the end of the video, what does the man in the black coat force the woman in the red coat to do?","[""Leave"", ""Withdraw money"", ""Sleep"", ""Go to see a man in white clothes""]",plotQA,D,B,D,0.0,1.0,route_224,prob_margin,0.8,lt,224,112,0.16459861397743225,True,False,0.16459861397743225,True,False,llm,llm_verifier_disagreement,route_224,X,0.67,"X has stronger top1 probability and margin, with lower entropy than Y.",0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,"{""choice"":""X"",""confidence"":0.67,""reason"":""X has stronger top1 probability and margin, with lower entropy than Y.""}"
14,"{""choices"": ""[\""Cell phone\"", \""Vehicle\"", \""Corpse\"", \""Watch\""]"", ""correct_choice"": ""D"", ""question"": ""At the beginning of the video, what do the two men not find on the street?"", ""video_id"": ""1_plotQA/en_tv_10""}",1_plotQA/en_tv_10,"At the beginning of the video, what do the two men not find on the street?","[""Cell phone"", ""Vehicle"", ""Corpse"", ""Watch""]",plotQA,D,C,C,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.8496723510324955,False,True,0.8496723510324955,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
15,"{""choices"": ""[\""Excited\"", \""Scared\"", \""Excited\"", \""Nervous\""]"", ""correct_choice"": ""A"", ""question"": ""At the end of the video, what is the mood of the woman in the plaid shirt when she talks to the man with a scar on his face?"", ""video_id"": ""1_plotQA/en_tv_10""}",1_plotQA/en_tv_10,"At the end of the video, what is the mood of the woman in the plaid shirt when she talks to the man with a scar on his face?","[""Excited"", ""Scared"", ""Excited"", ""Nervous""]",plotQA,A,D,D,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.6176629364490509,True,True,0.6176629364490509,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
16,"{""choices"": ""[\""Book\"", \""Surveillance video\"", \""Movie\"", \""Newspaper\""]"", ""correct_choice"": ""B"", ""question"": ""What is the woman in the plaid shirt watching inside the house?"", ""video_id"": ""1_plotQA/en_tv_10""}",1_plotQA/en_tv_10,What is the woman in the plaid shirt watching inside the house?,"[""Book"", ""Surveillance video"", ""Movie"", ""Newspaper""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.9706637840718031,False,True,0.9706637840718031,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
17,"{""choices"": ""[\""Because they had a fight\"", \""Because they killed someone\"", \""Because they triggered the alarm device\"", \""Because they robbed\""]"", ""correct_choice"": ""C"", ""question"": ""Why are the woman in blue clothing and the man with a scar on his face surrounded by armed personnel?"", ""video_id"": ""1_plotQA/en_tv_11""}",1_plotQA/en_tv_11,Why are the woman in blue clothing and the man with a scar on his face surrounded by armed personnel?,"[""Because they had a fight"", ""Because they killed someone"", ""Because they triggered the alarm device"", ""Because they robbed""]",plotQA,C,C,C,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.0,True,True,0.0,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
18,"{""choices"": ""[\""To eat\"", \""To sleep\"", \""To play games\"", \""To operate the computer device in the house\""]"", ""correct_choice"": ""D"", ""question"": ""Why does the woman in blue clothing want to enter the house?"", ""video_id"": ""1_plotQA/en_tv_11""}",1_plotQA/en_tv_11,Why does the woman in blue clothing want to enter the house?,"[""To eat"", ""To sleep"", ""To play games"", ""To operate the computer device in the house""]",plotQA,D,D,D,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.9901144641917199,False,True,0.9901144641917199,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
19,"{""choices"": ""[\""To complete a mission\"", \""For fun\"", \""To help another woman sneak into the house\"", \""Unintentionally\""]"", ""correct_choice"": ""C"", ""question"": ""Why does the woman in leather clothing want to attract attention?"", ""video_id"": ""1_plotQA/en_tv_11""}",1_plotQA/en_tv_11,Why does the woman in leather clothing want to attract attention?,"[""To complete a mission"", ""For fun"", ""To help another woman sneak into the house"", ""Unintentionally""]",plotQA,C,C,C,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.46248793601989746,True,True,0.46248793601989746,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
20,"{""choices"": ""[\""A sudden storm came\"", \""The facilities of the rock climbing site had a technical fault\"", \""The child fell off the rock\"", \""The child started climbing alone\""]"", ""correct_choice"": ""D"", ""question"": ""What unexpected situation occurred at the rock climbing site?"", ""video_id"": ""1_plotQA/en_tv_12""}",1_plotQA/en_tv_12,What unexpected situation occurred at the rock climbing site?,"[""A sudden storm came"", ""The facilities of the rock climbing site had a technical fault"", ""The child fell off the rock"", ""The child started climbing alone""]",plotQA,D,C,C,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.5931465029716492,True,True,0.5931465029716492,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
21,"{""choices"": ""[\""Firefighter\"", \""Police\"", \""Passerby\"", \""Teacher\""]"", ""correct_choice"": ""A"", ""question"": ""Who ran into the smoke-filled room and carried the girl out?"", ""video_id"": ""1_plotQA/en_tv_12""}",1_plotQA/en_tv_12,Who ran into the smoke-filled room and carried the girl out?,"[""Firefighter"", ""Police"", ""Passerby"", ""Teacher""]",plotQA,A,A,A,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.996421177405864,False,True,0.996421177405864,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
22,"{""choices"": ""[\""He was preparing to do something else\"", \""A man interrupted him\"", \""A woman in purple interrupted him\"", \""He felt physically exhausted\""]"", ""correct_choice"": ""C"", ""question"": ""Why did the old man stop doing push-ups?"", ""video_id"": ""1_plotQA/en_tv_12""}",1_plotQA/en_tv_12,Why did the old man stop doing push-ups?,"[""He was preparing to do something else"", ""A man interrupted him"", ""A woman in purple interrupted him"", ""He felt physically exhausted""]",plotQA,C,D,D,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.7767249271273613,True,True,0.7767249271273613,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
23,"{""choices"": ""[\""Bowl\"", \""Cup\"", \""Plate\"", \""Spoon\""]"", ""correct_choice"": ""B"", ""question"": ""What does the man in the checkered shirt get up to bring when people are eating?"", ""video_id"": ""1_plotQA/en_tv_13""}",1_plotQA/en_tv_13,What does the man in the checkered shirt get up to bring when people are eating?,"[""Bowl"", ""Cup"", ""Plate"", ""Spoon""]",plotQA,B,C,C,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.6877317130565643,True,True,0.6877317130565643,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
24,"{""choices"": ""[\""Park\"", \""Parking lot\"", \""Courtyard\"", \""Square\""]"", ""correct_choice"": ""B"", ""question"": ""Where does the family of three finally stop after speeding on the road in their car?"", ""video_id"": ""1_plotQA/en_tv_13""}",1_plotQA/en_tv_13,Where does the family of three finally stop after speeding on the road in their car?,"[""Park"", ""Parking lot"", ""Courtyard"", ""Square""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.6845632269978523,True,True,0.6845632269978523,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
25,"{""choices"": ""[\""Blue\"", \""Yellow\"", \""White\"", \""Red\""]"", ""correct_choice"": ""A"", ""question"": ""What color is the bag on the table when the man and woman are chatting in the room?"", ""video_id"": ""1_plotQA/en_tv_14""}",1_plotQA/en_tv_14,What color is the bag on the table when the man and woman are chatting in the room?,"[""Blue"", ""Yellow"", ""White"", ""Red""]",plotQA,A,A,A,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.6070930063724518,True,True,0.6070930063724518,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
26,"{""choices"": ""[\""Black\"", \""Yellow\"", \""Red\"", \""White\""]"", ""correct_choice"": ""A"", ""question"": ""What color is the coat of the woman walking in the prison corridor?"", ""video_id"": ""1_plotQA/en_tv_14""}",1_plotQA/en_tv_14,What color is the coat of the woman walking in the prison corridor?,"[""Black"", ""Yellow"", ""Red"", ""White""]",plotQA,A,A,A,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.8072723522782326,False,True,0.8072723522782326,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
27,"{""choices"": ""[\""White\"", \""Black\"", \""Red\"", \""Yellow\""]"", ""correct_choice"": ""B"", ""question"": ""What color is the man's shirt when two people are chatting in the room?"", ""video_id"": ""1_plotQA/en_tv_14""}",1_plotQA/en_tv_14,What color is the man's shirt when two people are chatting in the room?,"[""White"", ""Black"", ""Red"", ""Yellow""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.866977833211422,False,True,0.866977833211422,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
28,"{""choices"": ""[\""Joyful\"", \""Neutral\"", \""Angry\"", \""Sad\""]"", ""correct_choice"": ""C"", ""question"": ""What is the expression of the girl when she leaves the prison?"", ""video_id"": ""1_plotQA/en_tv_14""}",1_plotQA/en_tv_14,What is the expression of the girl when she leaves the prison?,"[""Joyful"", ""Neutral"", ""Angry"", ""Sad""]",plotQA,C,B,B,0.0,0.0,tie,prob_margin,0.8,lt,224,112,0.11160731315612793,True,True,0.11160731315612793,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,0.0,224,0.0,0.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
29,"{""choices"": ""[\""White\"", \""Green\"", \""Purple\"", \""Black\""]"", ""correct_choice"": ""A"", ""question"": ""What color is the chair the man sits on in the scene where two men are chatting in the office?"", ""video_id"": ""1_plotQA/en_tv_15""}",1_plotQA/en_tv_15,What color is the chair the man sits on in the scene where two men are chatting in the office?,"[""White"", ""Green"", ""Purple"", ""Black""]",plotQA,A,A,A,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.7996819615364075,True,True,0.7996819615364075,True,True,llm,low_confidence_agree_accept_answer,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
30,"{""choices"": ""[\""Blue\"", \""Silver\"", \""Green\"", \""Red\""]"", ""correct_choice"": ""B"", ""question"": ""What color is the train that passes through the city?"", ""video_id"": ""1_plotQA/en_tv_15""}",1_plotQA/en_tv_15,What color is the train that passes through the city?,"[""Blue"", ""Silver"", ""Green"", ""Red""]",plotQA,B,B,B,1.0,1.0,tie,prob_margin,0.8,lt,224,112,0.8596250489354134,False,True,0.8596250489354134,False,True,llm,accept_fs224_high_confidence,route_224,,,,0.0,False,,,224,224,1.0,224,1.0,1.0,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs112_lb72_rs144/1_0.csv,/mnt/ssd1/mwnoh/var-resolution-mlvu-confidence/fs224_lb18_rs36/1_0.csv,
